Fecha,medio,Valor
04/05/2023,Metro de Madrid,2266876
04/05/2023,EMT,1625148
04/05/2023,Conc. por carretera,1012208
04/05/2023,Renfe Cercanías,618660
05/05/2023,Metro de Madrid,2333841
05/05/2023,EMT,1592664
05/05/2023,Conc. por carretera,1031549
05/05/2023,Renfe Cercanías,617743
06/05/2023,Metro de Madrid,1524095
06/05/2023,EMT,894021
06/05/2023,Conc. por carretera,497344
06/05/2023,Renfe Cercanías,362932
07/05/2023,Metro de Madrid,1179225
07/05/2023,EMT,660942
07/05/2023,Conc. por carretera,338699
07/05/2023,Renfe Cercanías,295284
08/05/2023,Metro de Madrid,2137725
08/05/2023,EMT,1532561
08/05/2023,Conc. por carretera,964344
08/05/2023,Renfe Cercanías,604158
09/05/2023,Metro de Madrid,2278102
09/05/2023,EMT,1620877
09/05/2023,Conc. por carretera,1007028
09/05/2023,Renfe Cercanías,633126
10/05/2023,Metro de Madrid,2289611
10/05/2023,EMT,1621075
10/05/2023,Conc. por carretera,1011419
10/05/2023,Renfe Cercanías,628373
11/05/2023,Metro de Madrid,2283880
11/05/2023,EMT,1614140
11/05/2023,Conc. por carretera,1007352
11/05/2023,Renfe Cercanías,626424
12/05/2023,Metro de Madrid,2305597
12/05/2023,EMT,1560597
12/05/2023,Conc. por carretera,999833
12/05/2023,Renfe Cercanías,614366
13/05/2023,Metro de Madrid,1535103
13/05/2023,EMT,886650
13/05/2023,Conc. por carretera,486411
13/05/2023,Renfe Cercanías,367874
14/05/2023,Metro de Madrid,1261751
14/05/2023,EMT,684999
14/05/2023,Conc. por carretera,348313
14/05/2023,Renfe Cercanías,299583
15/05/2023,Metro de Madrid,1270727
15/05/2023,EMT,719062
15/05/2023,Conc. por carretera,574523
15/05/2023,Renfe Cercanías,345554
16/05/2023,Metro de Madrid,2151442
16/05/2023,EMT,1563331
16/05/2023,Conc. por carretera,970401
16/05/2023,Renfe Cercanías,593069
17/05/2023,Metro de Madrid,2242036
17/05/2023,EMT,1590292
17/05/2023,Conc. por carretera,987336
17/05/2023,Renfe Cercanías,617440
18/05/2023,Metro de Madrid,2226216
18/05/2023,EMT,1584737
18/05/2023,Conc. por carretera,969671
18/05/2023,Renfe Cercanías,611135
19/05/2023,Metro de Madrid,2274101
19/05/2023,EMT,1549129
19/05/2023,Conc. por carretera,997681
19/05/2023,Renfe Cercanías,612547
20/05/2023,Metro de Madrid,1485359
20/05/2023,EMT,858474
20/05/2023,Conc. por carretera,477722
20/05/2023,Renfe Cercanías,363291
21/05/2023,Metro de Madrid,1122868
21/05/2023,EMT,589675
21/05/2023,Conc. por carretera,318363
21/05/2023,Renfe Cercanías,277095
22/05/2023,Metro de Madrid,2076995
22/05/2023,EMT,1492608
22/05/2023,Conc. por carretera,943636
22/05/2023,Renfe Cercanías,588169
23/05/2023,Metro de Madrid,2162488
23/05/2023,EMT,1519096
23/05/2023,Conc. por carretera,949848
23/05/2023,Renfe Cercanías,595907
24/05/2023,Metro de Madrid,2231310
24/05/2023,EMT,1564933
24/05/2023,Conc. por carretera,968612
24/05/2023,Renfe Cercanías,611387
25/05/2023,Metro de Madrid,2220387
25/05/2023,EMT,1546411
25/05/2023,Conc. por carretera,970759
25/05/2023,Renfe Cercanías,607315
26/05/2023,Metro de Madrid,2226409
26/05/2023,EMT,1481470
26/05/2023,Conc. por carretera,945579
26/05/2023,Renfe Cercanías,594014
27/05/2023,Metro de Madrid,1485007
27/05/2023,EMT,872866
27/05/2023,Conc. por carretera,464070
27/05/2023,Renfe Cercanías,361388
28/05/2023,Metro de Madrid,1114827
28/05/2023,EMT,622198
28/05/2023,Conc. por carretera,308740
28/05/2023,Renfe Cercanías,263092
29/05/2023,Metro de Madrid,2030198
29/05/2023,EMT,1456058
29/05/2023,Conc. por carretera,892062
29/05/2023,Renfe Cercanías,577148
30/05/2023,Metro de Madrid,2143713
30/05/2023,EMT,1528803
30/05/2023,Conc. por carretera,932157
30/05/2023,Renfe Cercanías,595439
31/05/2023,Metro de Madrid,2224335
31/05/2023,EMT,1581465
31/05/2023,Conc. por carretera,969186
31/05/2023,Renfe Cercanías,625457
01/06/2023,Metro de Madrid,2184890
01/06/2023,EMT,1486742
01/06/2023,Conc. por carretera,939456
01/06/2023,Renfe Cercanías,605954
02/06/2023,Metro de Madrid,2236991
02/06/2023,EMT,1529491
02/06/2023,Conc. por carretera,968822
02/06/2023,Renfe Cercanías,612214
03/06/2023,Metro de Madrid,1566936
03/06/2023,EMT,931683
03/06/2023,Conc. por carretera,497548
03/06/2023,Renfe Cercanías,402772
04/06/2023,Metro de Madrid,1228403
04/06/2023,EMT,674468
04/06/2023,Conc. por carretera,345923
04/06/2023,Renfe Cercanías,305073
05/06/2023,Metro de Madrid,2060111
05/06/2023,EMT,1485808
05/06/2023,Conc. por carretera,918774
05/06/2023,Renfe Cercanías,594230
06/06/2023,Metro de Madrid,2166539
06/06/2023,EMT,1567532
06/06/2023,Conc. por carretera,955254
06/06/2023,Renfe Cercanías,636276
07/06/2023,Metro de Madrid,2202309
07/06/2023,EMT,1485966
07/06/2023,Conc. por carretera,924439
07/06/2023,Renfe Cercanías,613390
08/06/2023,Metro de Madrid,2221302
08/06/2023,EMT,1524557
08/06/2023,Conc. por carretera,939942
08/06/2023,Renfe Cercanías,614532
09/06/2023,Metro de Madrid,2283832
09/06/2023,EMT,1536119
09/06/2023,Conc. por carretera,971229
09/06/2023,Renfe Cercanías,599601
10/06/2023,Metro de Madrid,1519958
10/06/2023,EMT,907603
10/06/2023,Conc. por carretera,497957
10/06/2023,Renfe Cercanías,443339
11/06/2023,Metro de Madrid,1196402
11/06/2023,EMT,681479
11/06/2023,Conc. por carretera,355907
11/06/2023,Renfe Cercanías,318682
12/06/2023,Metro de Madrid,2029220
12/06/2023,EMT,1499710
12/06/2023,Conc. por carretera,912833
12/06/2023,Renfe Cercanías,580133
13/06/2023,Metro de Madrid,2119024
13/06/2023,EMT,1535757
13/06/2023,Conc. por carretera,928939
